STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:321362,CARRINGTON 4 N ND US,475.5,47.5088,-99.1211,20130101 01:00,0.00,g, 
COOP:321362,CARRINGTON 4 N ND US,475.5,47.5088,-99.1211,20130101 02:00,999.99,{, 
COOP:241127,BROADUS MT US,924.2,45.4441,-105.4072,20130101 01:00,0.00,g, 
COOP:241127,BROADUS MT US,924.2,45.4441,-105.4072,20130127 23:00,0.10, , 
COOP:241127,BROADUS MT US,924.2,45.4441,-105.4072,20130130 15:00,0.10, , 
COOP:250075,ALBION 7 W NE US,582.2,41.6833,-98.1302,20130101 01:00,0.00,g, 
COOP:250075,ALBION 7 W NE US,582.2,41.6833,-98.1302,20130127 08:00,0.10, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130101 00:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130101 01:00,0.02, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130101 02:00,0.01, , 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130101 03:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130101 04:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130101 08:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130101 09:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130101 10:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130101 12:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130101 16:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 05:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 06:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 07:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 08:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 09:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 11:00,0.00,T, 
COOP:171175,CARIBOU WEATHER FORECAST OFFICE ME US,188.6,46.87049,-68.01723,20130104 14:00,0.01, , 
